Female genital mutilation (section 1 of the Female Genital Mutilation Act 2003),Sexual Offence,,,
FORGERY,Fraud & Forgery,,,
FRAUD,Fraud & Forgery,,,
FURNISHING FALSE INFORMATION,Fraud & Forgery,,,
Genocide| crimes against humanity| war crimes and related offences)| other than one involving murder (section 51 or 52 of the International Criminal Court Act 2001),Violence Against The Person - Serious,,,
GOING EQUIPED TO CHEAT,Theft & Handling,,,
GOING EQUIPPED FOR STEALING,Theft & Handling,,,
GROSS INDECENCY,Sexual Offence,,,
GROSS INDECENCY WITH A CHILD,Sexual Offence – Serious,,,
HANDLING STOLEN GOODS,Theft & Handling,,,
HARRASSMENT,Other,,,
HEALTH AND SAFTEY AT WORK ACT,Other,,,
HI-JACKING,Terrorism,,,
Hijacking (section 1 of the Aviation Security Act 1982),Terrorism,,,
Hijacking of ships (section 9 of the Aviation and Maritime Security Act 1990),Terrorism,,,
HOLDING WARRANT,Other,,,
Hostage-taking (section 1 of the Taking of Hostages Act 1982),Terrorism,,,
ILLEGAL IMMIGRANT/DETAINEE,Other,,,
Import Error see comments (SFO),Not Applicable,,,
IMPORT/EXPORT/DRUG,Drug Offences,,,
IN DEFAULT OF RECOGS,Other,,,
INCEST,Sexual Offence,,,
Incest by a man (section 10 of the Sexual Offences Act 1956),Sexual Offence – Serious,,,
Incest by man with U13 girl,Sexual Offence – Serious,,,
incite child under 13 to engage in sexual activity,Sexual Offence – Serious,,,
Inciting a child family member to engage in sexual activity (section 26 of the Sexual Offences Act 2003),Sexual Offence – Serious,,,
INCITING GIRL UNDER 16 TO HAVE INCESTUOUS SEX INT,Sexual Offence – Serious,,,
INDECENCY BETWEEN MALES,Sexual Offence,,,
INDECENT ASSAULT,Sexual Offence,,,
INDECENT ASSAULT ON A CHILD,Sexual Offence – Serious,,,
Indecent assault on a man section 15 of the Sexual Offences Act 1956),Sexual Offence,,,
Indecent assault on a woman (section 14 of the Sexual Offences Act 1956),Sexual Offence,,,
Indecent conduct towards young child (under section 1 of the Indecency with Children Act 1960),Sexual Offence – Serious,,,
INDECENT EXPOSURE,Sexual Offence,,,
INDECENT PHOTOGRAPHS,Sexual Offence,,,
Indecent photographs of children (section 1 of the Protection of Children Act 1978),Sexual Offence – Serious,,,
Inducement| threat or deception to procure sexual activity with a person with a mental disorder (section 34 of the Sexual Offences Act 2003),Sexual Offence – Serious,,,
Infanticide (section 1 of the Infanticide Act 1938),Violence Against The Person - Serious,,,
INFLICT GRIEVOUS BODILY HARM,Violence Against The Person,,,
Intercourse with girl under thirteen (section 5 of the Sexual Offences Act 1956),Sexual Offence – Serious,,,
INTIMIDATION OF WITNESS,Violence Against The Person - Serious,,,
KEEPING A BROTHEL,Sexual Offence,,,
Kidnapping,Violence Against The Person,,,
LIBEL,Other,,,
LIVING OFF PROSTITUTION,Sexual Offence,,,
LOITERING,Other,,,
MAKE OFF WITHOUT PAYING,Theft & Handling,,,
MALICIOUS DAMAGE,Other,,,
Malicious Wounding (INFLICTING GBH) s20,Violence Against The Person,,,
Maliciously administering poison etc. so as to endanger life or inflict grievous bodily harm (section 23 of the Offences Against the Person Act 1861),Violence Against The Person - Serious,,,
Mandatory Manslaughter,Violence Against The Person - Serious,,,
Manslaughter,Violence Against The Person - Serious,,,
Manslaughter D/R,Violence Against The Person - Serious,,,
Meeting a child following sexual grooming etc. (section 15 of the Sexual Offences Act 2003),Sexual Offence – Serious,,,
Minor firearm offences,Other,,,
Murder,Violence Against The Person - Serious,,,
NO FIREARM LICENCE,Other,,,
NO TELEVISION LICENCE,Other,,,
NON PAYMENT OF CHILD MAINTAINANCE,Other,,,
NON PAYMENT OF COMMUNITY CHARGE,Other,,,
NON PAYMENT OF RATES,Other,,,
NON-PAYMENT OF WIFE MAINTENANCE (INC WIFE & CHILD),Other,,,
Not Applicable,Not Applicable,,,
Not Specified,,,,
OBSCENE PUBLICATIONS,Sexual Offence,,,
OBSCENE TELEPHONE CALLS,Sexual Offence,,,
OBSTRUCT OR RESIST A POLICE CONSTABLE,Other,,,
OBSTRUCTION,Other,,,
OBSTRUCTION OF COURT/PRISON OFFICER,Other,,,
Offence not recorded,Not Applicable,,,
Offences involving threats (section 13 of the Aviation and Maritime Security Act 1990),Terrorism,,,
Offences relating to Channel Tunnel trains and the tunnel system (Part II of the Channel Tunnel (Security) Order 1994 (S.I. 1994/570)),Terrorism,,,
OFFICIAL SECRETS ACT,Other,,,
Other acts endangering or likely to endanger safe navigation (section 12 of the Aviation and Maritime Security Act 1990),Terrorism,,,
Other acts endangering or likely to endanger safety of aircraft (section 3 of the Aviation Security Act 1982),Terrorism,,,
OTHER BURGLARY OFFENCES,Burglary,,,
Other child prostitution,Sexual Offence – Serious,,,
OTHER CIVIL OFFENCES,Other,,,
OTHER CRIMINAL OFFENCES,Other,,,
OTHER DRIVING OFFENCES,Motoring Offences,,,
OTHER DRUGS OFFENCES,Drug Offences,,,
Other explosives offences,Terrorism,,,
OTHER FRAUD/DECEPTION/FINANCIAL OFFENCES,Fraud & Forgery,,,
Other offences against the person,Violence Against The Person - Serious,,,
Other Serious child sex offences,Violence Against The Person - Serious,,,
Other serious violent offence,Violence Against The Person - Serious,,,
Other sex trafficking,Sexual Offence – Serious,,,
OTHER SEXUAL OFFENCES,Sexual Offence,,,
OTHER THEFT OFFENCES,Theft & Handling,,,
OTHER VIOLENT OFFENCES,Violence Against The Person,,,
PARENTS FINE FOR CHILD,Other,,,
Paying for sexual services of a child (section 47 of the Sexual Offences Act 2003),Sexual Offence – Serious,,,
PERJURY,Other,,,
Permitting girl under thirteen to use premises for intercourse (section 25 of the Sexual Offences Act 1956),Sexual Offence – Serious,,,
Placing explosives etc. with intent to do bodily injury (section 30 of the Offences Against the Person Act 1861),Terrorism,,,
POSSESSION DRUG,Drug Offences,,,
POSSESSION DRUGS WITH INTENT TO SUPPLY,Drug Offences,,,
Possession of a Firearm,Other,,,
POSSESSION OF AN OFFENSIVE WEAPON,Other,,,
Possession of firearm at time of committing or being arrested for offence specified in Schedule 1 to that Act (section 17(2) of the Firearms Act 1968),Violence Against The Person,,,
Possession of firearm with intent to cause fear of violence (section 16A of the Firearms Act 1968),Violence Against The Person - Serious,,,
Possession of firearm with intent to endanger life (section 16 of the Firearms Act 1968),Violence Against The Person - Serious,,,
PREVENTION OF TERRORISM ACT,Terrorism,,,
processing a document likely to be useful to a person committing/ preparing an act of terrorism,Terrorism,,,
PROCURATION,Sexual Offence,,,
PROCURING ILLEGAL ABORTION/CONCEALMENT OF BIRTH,Other,,,
PRODUCTION DRUG,Drug Offences,,,
PROSTITUTION,Sexual Offence,,,
PROSTITUTION/INTERCOURSE/IND ASS ON GIRL UNDER 16,Sexual Offence – Serious,,,
Public Order Offences,Other,,,
Railway Offences,Other,,,
Rape (section 1 of the Sexual Offences Act 1956),Sexual Offence – Serious,,,
Rape (section 1 of the Sexual Offences Act 2003),Sexual Offence – Serious,,,
Rape of a child under 13 (section 5 of the Sexual Offences Act 2003),Sexual Offence – Serious,,,
RECEIVING STOLEN GOODS,Theft & Handling,,,
RECKLESS DRIVING,Motoring Offences,,,
Riot (section 1 of the Public Order Act 1986),Violence Against The Person - Serious,,,
RIOTING,Other,,,
ROAD TRAFFIC ACT(NO INS/LIC/LIGHTS/BALD TYRES ETC),Motoring Offences,,,
ROBBERY,Robbery,,,
Robbery or assault with intent to rob (section 8 of the Theft Act 1968),Theft & Handling,,,
S38 BREACH OF LICENCE FOR SHORT TERM PRISONERS,Other,,,
SEC 40 CONVICTIONS DURING ORIGINAL SENTENCE,Other,,,
Seizing or exercising control of fixed platforms (section 10 of the Aviation and Maritime Security Act 1990),Terrorism,,,
Serious firearms offences (SFO),Violence Against The Person - Serious,,,
Serious Sexual Offence - Migrated Data,Not Applicable,,,
Serious Violent Offence - Migrated Data,Not Applicable,,,
Setting trap with intent to cause grievous bodily harm,Violence Against The Person - Serious,,,
Sexual activity with a child (section 9 of the Sexual Offences Act 2003),Sexual Offence – Serious,,,
Sexual activity with a child family member (section 25 of the Sexual Offences Act 2003),Sexual Offence – Serious,,,
Sexual activity with a person with a mental disorder impeding choice (section 30 of the Sexual Offences Act 2003),Sexual Offence – Serious,,,
Sexual activity with female person with a mental disorder/learning disability - care worker - penetration of anus| vagina| mouth by penis/part of body,Sexual Offence – Serious,,,
Sexual activity with male person with a mental disorder/learning disability - care worker - penetration of anus| vagina| mouth by penis/part of body,Sexual Offence – Serious,,,
Sexual assault (section 3 of the Sexual Offences Act 2003),Sexual Offence – Serious,,,
Sexual assault of a child under 13 (section 7 of the Sexual Offences Act 2003),Sexual Offence – Serious,,,
Soliciting murder (section 4 of the Offences against the Person Act 1861),Violence Against The Person - Serious,,,
SOLICITING/IMPORTUNING (MALES),Sexual Offence,,,
STALK A PERSON CAUSING FEAR OF VIOLENCE,Other,,,
SUPPLYING DRUGS,Drug Offences,,,
TAKING AND DRIVING AWAY,Theft & Handling,,,
THEFT,Theft & Handling,,,
THREATENING / DISORDERLY BEHAVIOUR,Violence Against The Person,,,
Threats to kill (section 16 of the Offences against the Person Act 1861),Violence Against The Person - Serious,,,
Torture (section 134 of the Criminal Justice Act 1988),Violence Against The Person - Serious,,,
Trafficking into the UK for sexual exploitation (section 57 of the Sexual Offences Act 2003),Sexual Offence – Serious,,,
Trafficking out of the UK for sexual exploitation (section 59 of the Sexual Offences Act 2003),Sexual Offence – Serious,,,
Trafficking within the UK for sexual exploitation (section 58 of the Sexual Offences Act 2003),Sexual Offence – Serious,,,
TREASON,Other,,,
TRESPASS,Other,,,
TRESPASS WITH INTENT,Burglary,,,
Trespass with intent to commit a sexual offence (section 63 of the Sexual Offences Act 2003),Sexual Offence,,,
UAL Offence,Other,,,
Unknown - Migrated,Not Applicable,,,
UNLAWFUL SEXUAL INTERCOURSE,Sexual Offence – Serious,,,
UNLAWFUL SEXUAL INTERCOURSE GIRL 13-16,Sexual Offence – Serious,,,
UNLAWFUL SEXUAL INTERCOURSE GIRL UNDER 13,Sexual Offence – Serious,,,
Use of firearm to resist arrest (section 17(1) of the Firearms Act 1968),Violence Against The Person,,,
Using chloroform etc. to commit or assist in the committing of any indictable offence (section 22 of the Offences Against the Person Act 1861),Violence Against The Person,,,
Using explosives etc. with intent to do grievous bodily harm (section 29 of the Offences Against the Person Act 1861),Terrorism,,,
VAGRANCY,Other,,,
Various - Migrated Data,Not Applicable,,,
VEHICLE INTERFERENCE,Motoring Offences,,,
VIOLENT DISORDER,Violence Against The Person,,,
Wasting Police time,Other,,,
Wounding with intent to cause grievous bodily harm,,,,
